Name,Number,Position,Height,Weight,Academic Year,Hometown,Highschool,Year
Izayah Green-May,50,OLB,"6'6""",217 lbs,Fr.,"Bolingbrook, Ill.",Bolingbrook,2017
Adam Bay,51,LS,"6'0""",224 lbs,Fr.,"Mesa, Ariz.",Desert Ridge,2017
David Pfaff,52,DE,"6'2""",275 lbs,So.,"Mequon, Wis.",Homestead,2017
T.J. Edwards,53,ILB,"6'1""",244 lbs,Jr.,"Lake Villa, Ill.",Lakes Community,2017
Chris Orr,54,ILB,"6'0""",223 lbs,So.,"DeSoto, Texas",DeSoto,2017
Christian Bell,55,OLB,"6'4""",249 lbs,Fr.,"Birmingham, Ala.",Hoover/Alabama,2017
Zack Baun,56,OLB,"6'3""",226 lbs,So.,"Brown Deer, Wis.",Brown Deer,2017
Michael Balistreri,57,DE,"6'4""",273 lbs,Fr.,"Grafton, Wis.",University School of Milwaukee,2017
Alec James,57,DE,"6'3""",272 lbs,Sr.,"Brookfield, Wis.",East,2017
Mike Maskalunas,58,ILB,"6'3""",234 lbs,Fr.,"Long Grove, Ill.",Adlai E. Stevenson,2017
Tyler Johnson,59,OLB,"6'3""",243 lbs,So.,"Menasha, Wis.",Menasha,2017
Logan Bruss,60,OL,"6'5""",281 lbs,Fr.,"Kimberly, Wis.",Kimberly,2017
Tyler Biadasz,61,OL,"6'3""",316 lbs,Fr.,"Amherst, Wis.",Amherst,2017
Patrick Kasl,62,OL,"6'5""",325 lbs,Fr.,"Wyoming, Minn.",Forest Lake,2017
Michael Deiter,63,OL,"6'6""",328 lbs,Jr.,"Curtice, Ohio",Genoa,2017
Brett Connors,64,OL,"6'6""",304 lbs,Jr.,"New Berlin, Wis.",West,2017
Tyler Beach,65,OL,"6'6""",290 lbs,Fr.,"Grafton, Wis.",Port Washington,2017
Beau Benzschawel,66,OL,"6'6""",317 lbs,Jr.,"Grafton, Wis.",Grafton,2017
Jon Dietzen,67,OL,"6'6""",336 lbs,So.,"Black Creek, Wis.",Seymour,2017
David Moorman,68,OL,"6'5""",314 lbs,So.,"Northville, Mich.",Northville,2017
Aaron Vopal,69,DE,"6'6""",298 lbs,Fr.,"De Pere, Wis.",De Pere,2017
Josh Seltzner,70,OL,"6'4""",313 lbs,Fr.,"Columbus, Wis.",Columbus,2017
Cole Van Lanen,71,OL,"6'5""",307 lbs,Fr.,"Green Bay, Wis.",Bay Port,2017
Alex Fenton,73,OL,"6'4""",299 lbs,Fr.,"Menomonie, Wis.",Menomonie,2017
Gunnar Roberge,74,NT,"6'4""",304 lbs,So.,"Seymour, Wis.",Seymour,2017
Micah Kapoi,75,OL,"6'3""",326 lbs,Jr.,"Kapolei, Hawaii",Kapolei,2017
Kayden Lyles,76,OL,"6'3""",320 lbs,Fr.,"Madison, Wis.",Middleton,2017
Blake Smithback,77,OL,"6'2""",292 lbs,Fr.,"Waunakee, Wis.",Waunakee,2017
Jason Erdmann,78,OL,"6'6""",337 lbs,So.,"Richfield, Wis.",Slinger,2017
David Edwards,79,OL,"6'7""",315 lbs,So.,"Downers Grove, Ill.",North,2017
Troy Fumagalli,81,TE,"6'6""",248 lbs,Sr.,"Aurora, Ill.",Waubonsie Valley,2017
Emmet Perry,82,WR,"6'2""",184 lbs,Fr.,"Grand Prairie, Texas",DeSoto,2017
Jake Ferguson,84,TE,"6'5""",230 lbs,Fr.,"Madison, Wis.",Memorial,2017
Zander Neuville,85,TE,"6'5""",258 lbs,Jr.,"Waupaca, Wis.",Waupaca,2017
Luke Benzschawel,86,TE,"6'6""",261 lbs,Fr.,"Grafton, Wis.",Grafton,2017
Quintez Cephus,87,WR,"6'1""",205 lbs,So.,"Macon, Ga.",Stratford Academy,2017
Deron Harrell,89,WR,"6'2""",181 lbs,Fr.,"Denver, Colo.",East,2017
Connor Allen,90,P,"6'0""",169 lbs,So.,"New Berlin, Wis.",Brookfield East,2017
Josh Bernhagen,91,LS,"6'2""",236 lbs,Fr.,"Madison, Wis.",La Follette,2017
Garrett Rand,93,NT,"6'2""",272 lbs,So.,"Chandler, Ariz.",Hamilton,2017
Matt Henningsen,94,DE,"6'3""",275 lbs,Fr.,"Menomonee Falls, Wis.",Menomonee Falls,2017
Conor Sheehy,94,DE,"6'4""",293 lbs,Sr.,"Milwaukee, Wis.",Marquette,2017
Keldric Preston,95,DE,"6'4""",257 lbs,Fr.,"Tampa, Fla.",Robinson,2017
Billy Hirschfeld,96,DE,"6'6""",305 lbs,Jr.,"Okauchee, Wis.",Arrowhead,2017
Isaiahh Loudermilk,97,DE,"6'7""",306 lbs,Fr.,"Howard, Kan.",West Elk,2017
Kraig Howe,98,DE,"6'3""",278 lbs,So.,"Dayton, Ohio",Archbishop Alter,2017
Collin Larsh,98,K,"5'10""",182 lbs,Fr.,"Marshall, Wis.",Monona Grove,2017
Olive Sagapolu,99,NT,"6'2""",346 lbs,Jr.,"Pago Pago, American Samoa",Mater Dei (Calif.),2017
Aron Cruickshank,1,WR,"5'9""",154 lbs,Fr.,"Brooklyn, N.Y.",Erasmus Hall,2018
Chase Wolf,2,QB,"6'1""",189 lbs,Fr.,"Cincinnati, Ohio",Saint Xavier,2018
Kendric Pryor,3,WR,"5'11""",181 lbs,So.,"Hazel Crest, Ill.",Homewood-Flossmoor,2018
Donte Burton,4,CB,"5'10""",181 lbs,Fr.,"Loganville, Ga.",Loganville,2018
A.J. Taylor,4,WR,"5'11""",203 lbs,Jr.,"Kansas City, Mo.",Rockhurst,2018
Chris James,5,RB,"5'10""",222 lbs,Sr.,"Chicago, Ill.",Notre Dame College Prep/Pittsburgh,2018
Rachad Wildgoose,5,CB,"5'11""",193 lbs,Fr.,"Miami, Fla.",Northwestern,2018
Danny Davis III,6,WR,"6'0""",196 lbs,So.,"Springfield, Ohio",Springfield,2018
Reggie Pearson,7,S,"5'10""",190 lbs,Fr.,"Inkster, Mich.",River Rouge,2018
Bradrick Shaw,7,RB,"6'1""",216 lbs,Jr.,"Birmingham, Ala.",Hoover,2018
Deron Harrell,8,CB,"6'2""",182 lbs,Fr.,"Denver, Colo.",East,2018
Scott Nelson,9,S,"6'2""",202 lbs,Fr.,"Detroit, Mich.",University of Detroit Jesuit,2018
Seth Currens,10,S,"6'3""",206 lbs,So.,"Pickerington, Ohio",Central,2018
Isaac Guerendo,10,WR,"6'0""",194 lbs,Fr.,"Clayton, Ind.",Avon,2018
Alexander Smith,11,CB,"5'11""",181 lbs,Fr.,"Culver City, Calif.",Culver City,2018
Alex Hornibrook,12,QB,"6'4""",219 lbs,Jr.,"West Chester, Pa.",Malvern Prep,2018
Evan Bondoc,13,S,"6'1""",199 lbs,Sr.,"Madison, Wis.",Edgewood,2018
Mike Gregoire,13,WR,"5'10""",166 lbs,Fr.,"Green Bay, Wis.",Notre Dame Academy,2018
D'Cota Dixon,14,S,"5'10""",198 lbs,Sr.,"Oak Hill, Fla.",New Smyrna Beach,2018
Anthony Lotti,15,P,"6'0""",187 lbs,Jr.,"Flowery Branch, Ga.",West Hall,2018
Danny Vanden Boom,15,QB,"6'5""",212 lbs,Fr.,"Kimberly, Wis.",Kimberly,2018
Jack Dunn,16,WR,"5'7""",172 lbs,So.,"Madison, Wis.",Edgewood,2018
Jack Coan,17,QB,"6'3""",211 lbs,So.,"Sayville, N.Y.",Sayville,2018
Andrew Van Ginkel,17,OLB,"6'4""",236 lbs,Sr.,"Rock Valley, Iowa",Rock Valley/Iowa Western C.C.,2018
Collin Wilder,18,S,"5'10""",195 lbs,Jr.,"Katy, Texas",Katy,2018
Nate Carter,19,QB,"6'5""",200 lbs,Fr.,"Waunakee, Wis.",Waunakee,2018
John Torchio,19,S,"6'1""",197 lbs,Fr.,"Lafayette, Calif.",Campolindo,2018
Faion Hicks,20,CB,"5'10""",184 lbs,Fr.,"Miami, Fla.",Flanagan,2018
Mark Saari,21,RB,"6'0""",207 lbs,Sr.,"Montreal, Wis.",Hurley,2018
Caesar Williams,21,CB,"6'0""",185 lbs,So.,"Grand Prairie, Texas",South,2018
Cade Green,22,WR,"5'11""",186 lbs,Fr.,"Austin, Texas",Lake Travis,2018
Jacob Heyroth,22,ILB,"6'0""",204 lbs,Fr.,"Lodi, Wis.",Lodi,2018
Mason Stokke,23,ILB,"6'2""",225 lbs,So.,"Menomonie, Wis.",Menomonie,2018
Jonathan Taylor,23,RB,"5'11""",221 lbs,So.,"Salem, N.J.",Salem,2018
Adam Krumholz,24,WR,"6'1""",194 lbs,So.,"Stoughton, Wis.",Stoughton,2018
Eric Burrell,25,S,"6'0""",191 lbs,So.,"Severn, Md.",McDonogh School,2018
Nakia Watson,25,RB,"5'11""",231 lbs,Fr.,"Austin, Texas",Westlake,2018
Travian Blaylock,26,CB,"5'11""",183 lbs,Fr.,"Humble, Texas",Atascocita,2018
Rafael Gaglianone,27,K,"5'11""",238 lbs,Sr.,"Sao Paulo, Brazil",Chattanooga (Tenn.) Baylor,2018
Cristian Volpentesta,27,CB,"5'9""",184 lbs,So.,"Highland Park, Ill.",Highland Park,2018
Taiwan Deal,28,RB,"6'1""",221 lbs,Sr.,"Capitol Heights, Md.",DeMatha,2018
Brady Schipper,29,WR,"5'11""",195 lbs,Fr.,"Stoughton, Wis.",Stoughton,2018
Tyler Mais,30,S,"6'1""",200 lbs,Fr.,"Waunakee, Wis.",Waunakee,2018
Coy Wanner,30,FB,"6'3""",248 lbs,Fr.,"Green Bay, Wis.",Preble,2018
Madison Cone,31,CB,"5'9""",176 lbs,So.,"Kernersville, N.C.",East Forsyth,2018
Jake Collinsworth,32,FB,"6'1""",240 lbs,Fr.,"Merrill, Wis.",Merrill,2018
Marty Strey,32,OLB,"6'2""",214 lbs,Fr.,"Sun Prairie, Wis.",Sun Prairie,2018
C.J. Goetz,34,DE,"6'3""",238 lbs,Fr.,"Muskego, Wis.",Catholic Memorial,2018
Hunter Johnson,36,RB,"6'0""",216 lbs,Fr.,"Darlington, Wis.",Darlington,2018
Kobe Knaak,36,CB,"5'9""",186 lbs,So.,"Franklin, Wis.",Franklin,2018
Ethan Cesarz,37,ILB,"6'0""",231 lbs,Fr.,"Delavan, Wis.",Delavan-Darien,2018
Garrett Groshek,37,RB,"5'11""",218 lbs,So.,"Amherst Junction, Wis.",Amherst,2018
Paul Jackson,38,OLB,"6'3""",234 lbs,Jr.,"Miami Gardens, Fla.",Youngstown (Ohio) Ursuline,2018
P.J. Rosowski,38,P,"6'3""",224 lbs,Sr.,"Stoughton, Wis.",Stoughton,2018
Zach Hintze,39,K,"6'0""",186 lbs,Jr.,"Fond du Lac, Wis.",St. Mary's Springs,2018
Noah Burks,41,OLB,"6'2""",241 lbs,So.,"Carmel, Ind.",Carmel,2018
Jack Eschenbach,41,TE,"6'6""",213 lbs,Fr.,"Downers Grove, Ill.",Benet Academy,2018
Jaylan Franklin,42,OLB,"6'4""",214 lbs,Fr.,"Brownstown, Mich.",O.A. Carlson,2018
Ryan Connelly,43,ILB,"6'3""",237 lbs,Sr.,"Eden Prairie, Minn.",Eden Prairie,2018
John Chenal,44,FB,"6'2""",235 lbs,Fr.,"Grantsburg, Wis.",Grantsburg,2018
Alec Ingold,45,FB,"6'2""",242 lbs,Sr.,"Green Bay, Wis.",Bay Port,2018
Gabe Lloyd,46,TE,"6'4""",231 lbs,So.,"Green Bay, Wis.",Northeast Wisconsin Lutheran,2018
Hegeman Tiedt,46,OLB,"6'4""",235 lbs,So.,"Burlington, Wis.",Burlington,2018
Griffin Grady,47,ILB,"6'3""",214 lbs,So.,"Dublin, Ohio",Coffman,2018
Mason Platter,48,OLB,"6'4""",222 lbs,Fr.,"Menomonie, Wis.",Menomonie,2018
Kyle Penniston,49,TE,"6'4""",243 lbs,Jr.,"Orange, Calif.",Mater Dei,2018
Izayah Green-May,50,OLB,"6'6""",223 lbs,Fr.,"Bolingbrook, Ill.",Bolingbrook,2018
Adam Bay,51,LS,"6'0""",225 lbs,So.,"Mesa, Ariz.",Desert Ridge,2018
Josh Bernhagen,52,LS,"6'2""",229 lbs,So.,"Madison, Wis.",La Follette,2018
David Pfaff,52,DE,"6'2""",284 lbs,Jr.,"Mequon, Wis.",Homestead,2018
T.J. Edwards,53,ILB,"6'1""",242 lbs,Sr.,"Lake Villa, Ill.",Lakes Community,2018
Chris Orr,54,ILB,"6'0""",232 lbs,Jr.,"DeSoto, Texas",DeSoto,2018
Christian Bell,55,OLB,"6'4""",247 lbs,So.,"Birmingham, Ala.",Hoover/Alabama,2018
Zack Baun,56,OLB,"6'3""",230 lbs,Jr.,"Brown Deer, Wis.",Brown Deer,2018
Michael Balistreri,57,DE,"6'4""",294 lbs,Fr.,"Grafton, Wis.",University School of Milwaukee,2018
Jack Sanborn,57,ILB,"6'2""",228 lbs,Fr.,"Deer Park, Ill.",Lake Zurich,2018
Mike Maskalunas,58,ILB,"6'3""",229 lbs,So.,"Long Grove, Ill.",Adlai E. Stevenson,2018
Tyler Johnson,59,OLB,"6'3""",240 lbs,Jr.,"Menasha, Wis.",Menasha,2018
Andrew Lyons,59,OL,"6'5""",289 lbs,Fr.,"Kenosha, Wis.",Bradford,2018
Logan Bruss,60,OL,"6'5""",303 lbs,Fr.,"Kimberly, Wis.",Kimberly,2018
Tyler Biadasz,61,OL,"6'3""",319 lbs,So.,"Amherst, Wis.",Amherst,2018
Michael Deiter,63,OL,"6'6""",310 lbs,Sr.,"Curtice, Ohio",Genoa,2018
Tyler Beach,65,OL,"6'6""",311 lbs,Fr.,"Grafton, Wis.",Port Washington,2018
Beau Benzschawel,66,OL,"6'6""",315 lbs,Sr.,"Grafton, Wis.",Grafton,2018
Jon Dietzen,67,OL,"6'6""",323 lbs,Jr.,"Black Creek, Wis.",Seymour,2018
David Moorman,68,OL,"6'5""",306 lbs,Jr.,"Northville, Mich.",Northville,2018
Aaron Vopal,69,DE,"6'6""",300 lbs,Fr.,"De Pere, Wis.",De Pere,2018
Josh Seltzner,70,OL,"6'4""",333 lbs,Fr.,"Columbus, Wis.",Columbus,2018
Cole Van Lanen,71,OL,"6'5""",311 lbs,So.,"Green Bay, Wis.",Bay Port,2018
Alex Fenton,73,OL,"6'4""",313 lbs,Fr.,"Menomonie, Wis.",Menomonie,2018
Michael Furtney,74,OL,"6'5""",291 lbs,Fr.,"Milan, Mich.",Milan,2018
Gunnar Roberge,74,NT,"6'4""",300 lbs,Jr.,"Seymour, Wis.",Seymour,2018
Micah Kapoi,75,OL,"6'3""",308 lbs,Sr.,"Kapolei, Hawaii",Kapolei,2018
Kayden Lyles,76,NT,"6'3""",323 lbs,Fr.,"Madison, Wis.",Middleton,2018
Blake Smithback,77,OL,"6'2""",301 lbs,Fr.,"Waunakee, Wis.",Waunakee,2018
Jason Erdmann,78,OL,"6'6""",325 lbs,Jr.,"Richfield, Wis.",Slinger,2018
David Edwards,79,OL,"6'7""",315 lbs,Jr.,"Downers Grove, Ill.",North,2018
Taj Mustapha,81,WR,"6'0""",192 lbs,Fr.,"Southfield, Mich.",West Bloomfield,2018
Emmet Perry,82,WR,"6'2""",182 lbs,Fr.,"Grand Prairie, Texas",DeSoto,2018
Jake Ferguson,84,TE,"6'5""",239 lbs,Fr.,"Madison, Wis.",Memorial,2018
Zander Neuville,85,TE,"6'5""",252 lbs,Sr.,"Waupaca, Wis.",Waupaca,2018
Luke Benzschawel,86,TE,"6'6""",247 lbs,So.,"Grafton, Wis.",Grafton,2018
Quintez Cephus,87,WR,"6'1""",207 lbs,Jr.,"Macon, Ga.",Stratford Academy,2018
A.J. Abbott,89,WR,"6'2""",179 lbs,Fr.,"Northville, Mich.",West Bloomfield,2018
Connor Allen,90,P,"6'0""",172 lbs,Jr.,"New Berlin, Wis.",Brookfield East,2018
Isaiah Mullens,90,DE,"6'4""",283 lbs,Fr.,"Columbus, Ohio",Harvest Prep,2018
Bryson Williams,91,NT,"6'2""",301 lbs,Fr.,"Lincoln, Neb.",Southeast,2018
Matt Henningsen,92,DE,"6'3""",277 lbs,Fr.,"Menomonee Falls, Wis.",Menomonee Falls,2018
Garrett Rand,93,DE,"6'2""",278 lbs,Jr.,"Chandler, Ariz.",Hamilton,2018
Boyd Dietzen,94,DE,"6'3""",252 lbs,Fr.,"Combined Locks, Wis.",Kimberly,2018
Cormac Sampson,96,TE,"6'4""",255 lbs,Fr.,"Eau Claire, Wis.",Memorial,2018
Conor Schlichting,96,P,"6'2""",218 lbs,Fr.,"Madison, Wis.",East,2018
Isaiahh Loudermilk,97,DE,"6'7""",300 lbs,So.,"Howard, Kan.",West Elk,2018
Kraig Howe,98,DE,"6'3""",272 lbs,Jr.,"Dayton, Ohio",Archbishop Alter,2018
Collin Larsh,98,K,"5'10""",185 lbs,Fr.,"Marshall, Wis.",Monona Grove,2018
Olive Sagapolu,99,NT,"6'2""",342 lbs,Sr.,"Pago Pago, American Samoa",Mater Dei (Calif.),2018
Faion Hicks,1,CB,"5'10""",185 lbs,So.,"Miami, Fla.",Flanagan,2019
Reggie Pearson,2,S,"5'10""",197 lbs,Fr.,"Inkster, Mich.",River Rouge,2019
Chase Wolf,2,QB,"6'1""",196 lbs,Fr.,"Cincinnati, Ohio",Saint Xavier,2019
Kendric Pryor,3,WR,"5'11""",180 lbs,Jr.,"Hazel Crest, Ill.",Homewood-Flossmoor,2019
A.J. Taylor,4,WR,"5'11""",200 lbs,Sr.,"Kansas City, Mo.",Rockhurst,2019
Graham Mertz,5,QB,"6'3""",215 lbs,Fr.,"Overland Park, Kan.",Blue Valley North,2019
Rachad Wildgoose,5,CB,"5'11""",197 lbs,So.,"Miami, Fla.",Northwestern,2019
Danny Davis III,6,WR,"6'0""",194 lbs,Jr.,"Springfield, Ohio",Springfield,2019
Dean Engram,6,CB,"5'9""",164 lbs,Fr.,"Columbia, Md.",Gonzaga College HS,2019
Spencer Lytle,7,OLB,"6'2""",223 lbs,Fr.,"Redondo Beach, Calif.",St. John Bosco,2019
Bradrick Shaw,7,RB,"6'1""",216 lbs,Sr.,"Birmingham, Ala.",Hoover,2019
Deron Harrell,8,CB,"6'2""",182 lbs,So.,"Denver, Colo.",East,2019
Scott Nelson,9,S,"6'2""",204 lbs,So.,"Detroit, Mich.",University of Detroit Jesuit,2019
Seth Currens,10,TE,"6'3""",224 lbs,Jr.,"Pickerington, Ohio",Central,2019
Stephan Bracey Jr.,11,WR,"5'10""",172 lbs,Fr.,"Grand Rapids, Mich.",East Kentwood,2019
Alexander Smith,11,CB,"5'11""",182 lbs,Fr.,"Culver City, Calif.",Culver City,2019
Titus Toler,12,S,"5'11""",192 lbs,Fr.,"Long Beach, Calif.",St. John Bosco,2019
Mike Gregoire,13,WR,"5'10""",171 lbs,Fr.,"Green Bay, Wis.",Notre Dame Academy,2019
Jordan DiBenedetto,14,WR,"6'0""",190 lbs,Fr.,"Stoughton, Wis.",Stoughton,2019
Nakia Watson,14,RB,"5'11""",229 lbs,Fr.,"Austin, Texas",Westlake,2019
Anthony Lotti,15,P,"6'0""",187 lbs,Sr.,"Flowery Branch, Ga.",West Hall,2019
Danny Vanden Boom,15,QB,"6'5""",207 lbs,So.,"Kimberly, Wis.",Kimberly,2019
Jack Dunn,16,WR,"5'7""",174 lbs,Jr.,"Madison, Wis.",Edgewood,2019
Donte Burton,17,CB,"5'10""",180 lbs,Fr.,"Loganville, Ga.",Loganville,2019
Jack Coan,17,QB,"6'3""",221 lbs,Jr.,"Sayville, N.Y.",Sayville,2019
Cam Phillips,18,WR,"6'0""",176 lbs,Fr.,"San Francisco, Calif.",IMG Academy,2019
Collin Wilder,18,S,"5'10""",194 lbs,Jr.,"Katy, Texas",Katy,2019
Collin Larsh,19,K,"5'10""",184 lbs,So.,"Marshall, Wis.",Monona Grove,2019
John Torchio,19,S,"6'1""",205 lbs,Fr.,"Lafayette, Calif.",Campolindo,2019
Isaac Guerendo,20,RB,"6'0""",213 lbs,Fr.,"Clayton, Ind.",Avon,2019
Semar Melvin,20,CB,"5'11""",166 lbs,Fr.,"Pembroke Pines, Fla.",St. Thomas Aquinas,2019
Cooper Nelson,21,WR,"6'4""",187 lbs,Fr.,"Sun Prairie, Wis.",Sun Prairie,2019
Caesar Williams,21,CB,"6'0""",188 lbs,Jr.,"Grand Prairie, Texas",South,2019
Cade Green,22,WR,"5'11""",185 lbs,So.,"Austin, Texas",Lake Travis,2019
Jacob Heyroth,22,ILB,"6'0""",218 lbs,Fr.,"Lodi, Wis.",Lodi,2019
Jonathan Taylor,23,RB,"5'11""",219 lbs,Jr.,"Salem, N.J.",Salem,2019
Adam Krumholz,24,WR,"6'1""",193 lbs,Jr.,"Stoughton, Wis.",Stoughton,2019
James Williams,24,CB,"5'10""",182 lbs,Fr.,"Fort Lauderdale, Fla.",Chaminade-Madonna Prep,2019
Eric Burrell,25,S,"6'0""",195 lbs,Jr.,"Severn, Md.",McDonogh School,2019
Travian Blaylock,26,CB,"5'11""",200 lbs,Fr.,"Humble, Texas",Atascocita,2019
Cristian Volpentesta,27,CB,"5'9""",185 lbs,Jr.,"Highland Park, Ill.",Highland Park,2019
Quan Easterling,28,FB,"6'3""",238 lbs,Fr.,"Akron, Ohio",Archbishop Hoban,2019
Blake Wilcox,28,K,"6'4""",228 lbs,Fr.,"Wales, Wis.",Kettle Moraine,2019
Jackson Kollath,29,ILB,"6'1""",252 lbs,Fr.,"Menomonee Falls, Wis.",Sussex Hamilton,2019
Brady Schipper,29,RB,"5'11""",206 lbs,Fr.,"Stoughton, Wis.",Stoughton,2019
Tyler Mais,30,S,"6'1""",196 lbs,So.,"Waunakee, Wis.",Waunakee,2019
Coy Wanner,30,TE,"6'3""",236 lbs,So.,"Green Bay, Wis.",Preble,2019
Madison Cone,31,S,"5'9""",182 lbs,Jr.,"Kernersville, N.C.",East Forsyth,2019
Julius Davis,32,RB,"5'10""",189 lbs,Fr.,"Menomonee Falls, Wis.",Menomonee Falls,2019
Marty Strey,32,ILB,"6'2""",219 lbs,Fr.,"Sun Prairie, Wis.",Sun Prairie,2019
Mason Stokke,34,FB,"6'2""",239 lbs,Jr.,"Menomonie, Wis.",Menomonie,2019
Hunter Johnson,36,RB,"6'0""",220 lbs,So.,"Darlington, Wis.",Darlington,2019
Kobe Knaak,36,CB,"5'9""",189 lbs,Jr.,"Franklin, Wis.",Franklin,2019
Garrett Groshek,37,RB,"5'11""",220 lbs,Jr.,"Amherst Junction, Wis.",Amherst,2019
Dante Caputo,38,S,"5'11""",181 lbs,Fr.,"Pittsburgh, Pa.",North Allegheny,2019
Tatum Grass,39,ILB,"6'2""",222 lbs,Fr.,"Holmen, Wis.",Holmen,2019
Zach Hintze,39,K,"6'0""",190 lbs,Sr.,"Fond du Lac, Wis.",St. Mary's Springs,2019
Noah Burks,41,OLB,"6'2""",240 lbs,Jr.,"Carmel, Ind.",Carmel,2019
Jack Eschenbach,41,TE,"6'6""",224 lbs,Fr.,"Downers Grove, Ill.",Benet Academy,2019
Jaylan Franklin,42,OLB,"6'4""",222 lbs,Fr.,"Brownstown, Mich.",O.A. Carlson,2019
Hayden Rucci,43,TE,"6'4""",250 lbs,Fr.,"Lititz, Pa.",Warwick,2019
John Chenal,44,FB,"6'2""",252 lbs,So.,"Grantsburg, Wis.",Grantsburg,2019
Leo Chenal,45,ILB,"6'2""",250 lbs,Fr.,"Grantsburg, Wis.",Grantsburg,2019
Gabe Lloyd,46,TE,"6'4""",231 lbs,Jr.,"Green Bay, Wis.",Northeast Wisconsin Lutheran,2019
Clay Cundiff,47,TE,"6'3""",251 lbs,Fr.,"Wichita, Kan.",Bishop Carroll,2019
Travis Wiltjer,48,ILB,"6'2""",225 lbs,Sr.,"Maple City, Mich.",Glen Lake/Northwood,2019
Christian Bell,49,OLB,"6'4""",249 lbs,Jr.,"Birmingham, Ala.",Hoover/Alabama,2019
Logan Brown,50,OL,"6'6""",311 lbs,Fr.,"Grand Rapids, Mich.",East Kentwood,2019
Izayah Green-May,50,OLB,"6'6""",221 lbs,So.,"Bolingbrook, Ill.",Bolingbrook,2019
Adam Bay,51,LS,"6'0""",229 lbs,Jr.,"Mesa, Ariz.",Desert Ridge,2019
Gio Paez,51,DE,"6'3""",305 lbs,Fr.,"Los Angeles, Calif.",William A. Hough (N.C.),2019
Josh Bernhagen,52,LS,"6'2""",241 lbs,Jr.,"Madison, Wis.",La Follette,2019
David Pfaff,52,DE,"6'2""",288 lbs,Sr.,"Mequon, Wis.",Homestead,2019
Chris Orr,54,ILB,"6'0""",224 lbs,Sr.,"DeSoto, Texas",DeSoto,2019
Maema Njongmeta,55,ILB,"6'0""",220 lbs,Fr.,"Buffalo Grove, Ill.",Adlai E. Stevenson,2019
Zack Baun,56,OLB,"6'3""",235 lbs,Sr.,"Brown Deer, Wis.",Brown Deer,2019
Rodas Johnson,56,DE,"6'2""",293 lbs,Fr.,"Columbus, Ohio",St. Francis DeSales,2019
Michael Balistreri,57,DE,"6'4""",288 lbs,So.,"Grafton, Wis.",University School of Milwaukee,2019
Jack Sanborn,57,ILB,"6'2""",232 lbs,So.,"Deer Park, Ill.",Lake Zurich,2019
Mike Maskalunas,58,ILB,"6'3""",231 lbs,Jr.,"Long Grove, Ill.",Adlai E. Stevenson,2019
Tyler Johnson,59,OLB,"6'3""",241 lbs,Sr.,"Menasha, Wis.",Menasha,2019
Andrew Lyons,59,OL,"6'5""",311 lbs,Fr.,"Kenosha, Wis.",Bradford,2019
Logan Bruss,60,OL,"6'5""",310 lbs,So.,"Kimberly, Wis.",Kimberly,2019
Tyler Biadasz,61,OL,"6'3""",321 lbs,Jr.,"Amherst, Wis.",Amherst,2019
Logan O'Brien,62,OL,"6'4""",265 lbs,Fr.,"Fennimore, Wis.",Fennimore,2019
Peter Bowden,63,LS,"6'2""",217 lbs,Fr.,"San Diego, Calif.",Francis Parker,2019
Tyler Beach,65,OL,"6'6""",309 lbs,So.,"Grafton, Wis.",Port Washington,2019
David Moorman,68,OL,"6'5""",307 lbs,Sr.,"Northville, Mich.",Northville,2019
Aaron Vopal,69,OL,"6'6""",312 lbs,So.,"De Pere, Wis.",De Pere,2019
Josh Seltzner,70,OL,"6'4""",327 lbs,So.,"Columbus, Wis.",Columbus,2019
Cole Van Lanen,71,OL,"6'5""",312 lbs,Jr.,"Green Bay, Wis.",Bay Port,2019
Michael Furtney,74,OL,"6'5""",307 lbs,Fr.,"Milan, Mich.",Milan,2019
Gunnar Roberge,74,NT,"6'4""",292 lbs,Sr.,"Seymour, Wis.",Seymour,2019
Joe Tippmann,75,OL,"6'6""",312 lbs,Fr.,"Fort Wayne, Ind.",Bishop Dwenger,2019
Kayden Lyles,76,OL,"6'3""",321 lbs,So.,"Madison, Wis.",Middleton,2019
Blake Smithback,77,OL,"6'2""",305 lbs,So.,"Waunakee, Wis.",Waunakee,2019
Jason Erdmann,78,OL,"6'6""",328 lbs,Sr.,"Richfield, Wis.",Slinger,2019
Taj Mustapha,81,WR,"6'0""",190 lbs,Fr.,"Southfield, Mich.",West Bloomfield,2019
Emmet Perry,82,WR,"6'2""",186 lbs,So.,"Grand Prairie, Texas",DeSoto,2019
Jake Ferguson,84,TE,"6'5""",246 lbs,So.,"Madison, Wis.",Memorial,2019
Cormac Sampson,85,TE,"6'4""",280 lbs,Fr.,"Eau Claire, Wis.",Memorial,2019
Luke Benzschawel,86,TE,"6'6""",276 lbs,Jr.,"Grafton, Wis.",Grafton,2019
Quintez Cephus,87,WR,"6'1""",207 lbs,Jr.,"Macon, Ga.",Stratford Academy,2019
A.J. Abbott,89,WR,"6'2""",192 lbs,Fr.,"Northville, Mich.",West Bloomfield,2019
Connor Allen,90,P,"6'0""",168 lbs,Sr.,"New Berlin, Wis.",Brookfield East,2019
Bryson Williams,91,NT,"6'2""",300 lbs,So.,"Lincoln, Neb.",Southeast,2019
